sample,time_s,zone_index,zone_tolerance_mm,reference_x_mm,reference_y_mm,initial_x_mm,initial_y_mm,no_alignment_x_mm,no_alignment_y_mm,v11_x_mm,v11_y_mm,initial_contour_error_mm,no_alignment_contour_error_mm,v11_contour_error_mm
10,0.375,0,0.14,-29.326171875,1.3353812445375475,-29.926536320999745,0.031522758866399846,-29.879430118901173,0.031821967633216854,-29.883550466812608,0.031802086706693794,-0.05600101225606713,-0.09785233985143493,-0.09418878033414013
11,0.4125,0,0.14,-29.188212890625,1.6059025327671026,-29.898644044342788,0.04059244615325201,-29.835707945625025,0.041457050527054465,-29.840769889529042,0.043239584604197155,-0.08019302473035894,-0.13583324049297574,-0.13051482433759076
12,0.44999999999999996,0,0.14,-29.038125,1.8983826858742896,-29.859532702752716,0.06320946417097055,-29.784357400412393,0.07589081754335937,-29.78971390280094,0.08315080141750673,-0.11001423714728376,-0.1710403224824586,-0.16295417904382836
13,0.4875,0,0.14,-28.876083984375,2.2116393150343505,-29.808832199995813,0.1045618646895385,-29.72614524791995,0.145748840958337,-29.7311364395235,0.16294843491832384,-0.14396335548197814,-0.1983421317678139,-0.18598212271242553
14,0.525,0,0.14,-28.702265625,2.544288768155412,-29.746314126430562,0.16767132342282198,-29.661367854414074,0.2562852859195226,-29.665347512908994,0.2880111499166884,-0.1814483269989352,-0.21541804718048796,-0.1971359188305256
15,0.5625,0,0.14,-28.516845703125,2.894724881660644,-29.671815473416185,0.25424521451831106,-29.589979921334724,0.4095031451592448,-29.59233221093052,0.4600401224683418,-0.22247107818392675,-0.22167845631301675,-0.19583618627773802
16,0.6,0,0.14,-28.32,3.2611001946600426,-29.585219369279432,0.3651833908996988,-29.511751120570292,0.6053096984452845,-29.511905254323267,0.6783205268943134,-0.2674164499863545,-0.21759856390992938,-0.18267623082904239
17,0.6375,-1,nan,-28.111904296875,3.641310566112879,-29.486443705959246,0.5008637630844663,-29.426354449504743,0.8422132230111972,-29.423793569323976,0.9405398056958378,-0.31693383451654533,-0.204324677356166,-0.15898135945321568
18,0.6749999999999999,-1,nan,-27.892734375,4.032984191218378,-29.375432170453802,0.661305376955111,-29.33341101139905,1.1178368893417678,-29.327678072725003,1.243409111093383,-0.37187196175558035,-0.18340435160484958,-0.12649654541331912
19,0.7125,1,0.22,-27.662666015625,4.43347604914991,-29.252147742750715,0.8462665594655507,-29.232516788012664,1.4292733822579686,-29.223220051135787,1.5830722708802636,-0.43324017206086984,-0.15660660685016148,-0.08718762825751947
20,0.75,1,0.22,-27.421875,4.839868823603384,-29.116568838323957,1.0553046779358066,-29.12325996306978,1.7732910623001932,-29.110077803204256,1.9553311171844419,-0.50218270655497,-0.12582118162944633,-0.04314054956803237
