manifest_id,trajectory,regime,scenario_id,scenario_mode,domain_seed,schedule_slot,method,initial_task_score,final_task_score,last_observed_task_score,task_auc_normalized,final_task_ratio,initial_violation_rate,final_violation_rate,initial_global_rmse,final_global_rmse,final_global_ratio,measured_score_auc_normalized,selection_switches,selection_history,accepted_history,rejected_trials,final_trust_radius_mm,constraint_violation,all_updates_succeeded,finite_result,actual_axis_delay_history,raw_estimated_lag_history,total_estimated_lag_history,nominal_estimated_lag_history,applied_lag_history,confidence_history,gain_history,lag_absolute_error_steps,median_peak_correlation,elapsed_s
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,balanced_static,static,1951,2,dual_anchor_dynamic,11.962517368479968,4.135975922030542,4.135975922030542,0.49976751403476927,0.3457446116591164,0.8333333333333334,0.8333333333333334,2.7049276492389316,0.9891018139083372,0.36566664331544485,0.49976751403476927,3,"[[2, 4], [1, 2], [2, 3], [1, 2]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[10, 2], [10, 2], [10, 2], [10, 2], [10, 2]]","[[9, 2], [9, 2], [9, 2], [9, 2], [9, 2]]","[[11, 4], [11, 4], [11, 4], [11, 4], [11, 4]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[[NaN, NaN], [NaN, NaN], [NaN, NaN], [NaN, NaN], [NaN, NaN]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]",0.5,0.9693000767476798,0.39966445800000017
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,balanced_static,static,1951,2,fixed_delay_2,11.962517368479968,4.6044711134275484,5.19112489152948,0.520972583337134,0.38490820716046503,0.8333333333333334,0.8333333333333334,2.7049276492389316,1.0743669333669474,0.3971887875334615,0.520972583337134,2,"[[2, 4], [1, 2], [2, 3], [2, 3]]","[true, true, true, false, false]",2,1.0,0,1,1,"[[10, 2], [10, 2], [10, 2], [10, 2], [10, 2]]","[[9, 2], [9, 2], [9, 2], [9, 2], [9, 2]]","[[11, 4], [11, 4], [11, 4], [11, 4], [11, 4]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[2.0, 2.0], [2.0, 2.0], [2.0, 2.0], [2.0, 2.0], [2.0, 2.0]]","[[NaN, NaN], [NaN, NaN], [NaN, NaN], [NaN, NaN], [NaN, NaN]]","[[1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0]]",0.5,0.9691584463410412,0.38247095799999986
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,balanced_static,static,1951,2,delay_aware_dual_anchor,11.962517368479968,3.942786063672236,3.942786063672236,0.49058921197034144,0.32959501267359337,0.8333333333333334,0.8333333333333334,2.7049276492389316,0.8961229704223086,0.33129276883780795,0.49058921197034144,3,"[[2, 4], [1, 2], [2, 3], [1, 2]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[10, 2], [10, 2], [10, 2], [10, 2], [10, 2]]","[[9, 2], [9, 2], [9, 2], [9, 2], [9, 2]]","[[11, 4], [11, 4], [11, 4], [11, 4], [11, 4]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[2.25, 0.5], [2.25, 0.5], [2.25, 0.5], [2.25, 0.5], [2.25, 0.5]]","[[NaN, NaN], [NaN, NaN], [NaN, NaN], [NaN, NaN], [NaN, NaN]]","[[0.25, 0.25], [0.25, 0.25], [0.25, 0.25], [0.25, 0.25], [0.25, 0.25]]",0.5,0.969270527190486,0.3905704160000001
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,balanced_static,static,1951,2,adaptive_rolling_delay,11.962517368479968,3.9152202065559463,3.9152202065559463,0.48855825414661885,0.32729066014751695,0.8333333333333334,0.8333333333333334,2.7049276492389316,0.8766038431422155,0.3240766322858432,0.48855825414661885,3,"[[2, 4], [1, 2], [2, 3], [1, 2]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[10, 2], [10, 2], [10, 2], [10, 2], [10, 2]]","[[9, 2], [9, 2], [9, 2], [9, 2], [9, 2]]","[[11, 4], [11, 4], [11, 4], [11, 4], [11, 4]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[2.9012787188745666, 0.39732469004747056], [2.915614900268459, 0.39697017120109424], [2.919564290747897, 0.39652808940518536], [3.0174044978779886, 0.3965520289188501], [3.023460645465548, 0.3963574159454733]]","[[0.7660635648763292, 0.9732469004747053], [0.7731431606263994, 0.969701712010942], [0.7750934769125417, 0.9652808940518532], [0.8234096285817227, 0.9655202891885007], [0.8264003187484187, 0.9635741594547327]]","[[0.32236430209717404, 0.19866234502373528], [0.3239572111409399, 0.19848508560054712], [0.3243960323053219, 0.19826404470259268], [0.3352671664308876, 0.19827601445942505], [0.33594007171839424, 0.19817870797273665]]",0.5,0.9692792501806224,0.3782070830000004
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,balanced_static,static,1951,2,oracle_adaptive_delay,11.962517368479968,3.831462818998557,3.831462818998557,0.4849874033785768,0.32028900782155406,0.8333333333333334,0.8333333333333334,2.7049276492389316,0.8540267117300664,0.3157299648921695,0.4849874033785768,3,"[[2, 4], [1, 2], [2, 3], [1, 2]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[10, 2], [10, 2], [10, 2], [10, 2], [10, 2]]","[[9, 2], [9, 2], [9, 2], [9, 2], [9, 2]]","[[11, 4], [11, 4], [11, 4], [11, 4], [11, 4]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[3.5, 0.4], [3.5, 0.4], [3.5, 0.4], [3.5, 0.4], [3.5, 0.4]]","[[1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0]]","[[0.38, 0.2], [0.38, 0.2], [0.38, 0.2], [0.38, 0.2], [0.38, 0.2]]",0.5,0.969222836471006,0.3917272079999998
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,balanced_static,static,1973,3,dual_anchor_dynamic,14.604118018330125,11.849482228480294,11.849482228480294,0.8582103012560134,0.811379517312008,1.0,1.0,4.000591380453253,2.9699269027649966,0.7423719696232797,0.8582103012560134,0,"[[2, 3], [2, 3], [2, 3], [2, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[10, 10], [10, 10], [10, 10], [10, 10], [10, 10]]","[[9, 11], [9, 11], [9, 11], [9, 11], [9, 11]]","[[11, 13], [11, 13], [11, 13], [11, 13], [11, 13]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[[NaN, NaN], [NaN, NaN], [NaN, NaN], [NaN, NaN], [NaN, NaN]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]",1.0,0.9978710294084672,0.45443854099999914
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,balanced_static,static,1973,3,fixed_delay_2,14.604118018330125,11.3042261888164,11.3042261888164,0.8355407859075941,0.7740437440061825,1.0,1.0,4.000591380453253,2.755322498116271,0.688728799341687,0.8355407859075941,2,"[[2, 3], [2, 3], [1, 3], [2, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[10, 10], [10, 10], [10, 10], [10, 10], [10, 10]]","[[9, 11], [9, 11], [9, 11], [9, 11], [9, 11]]","[[11, 13], [11, 13], [11, 13], [11, 13], [11, 13]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[2.0, 2.0], [2.0, 2.0], [2.0, 2.0], [2.0, 2.0], [2.0, 2.0]]","[[NaN, NaN], [NaN, NaN], [NaN, NaN], [NaN, NaN], [NaN, NaN]]","[[1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0]]",1.0,0.9979134686181721,0.47307212499999984
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,balanced_static,static,1973,3,delay_aware_dual_anchor,14.604118018330125,11.124947701103466,11.124947701103466,0.8221217234992352,0.7617678580206053,1.0,1.0,4.000591380453253,2.6523239637279623,0.6629829721393499,0.8221217234992352,2,"[[2, 3], [2, 3], [1, 3], [2, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[10, 10], [10, 10], [10, 10], [10, 10], [10, 10]]","[[9, 11], [9, 11], [9, 11], [9, 11], [9, 11]]","[[11, 13], [11, 13], [11, 13], [11, 13], [11, 13]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[2.25, 2.75], [2.25, 2.75], [2.25, 2.75], [2.25, 2.75], [2.25, 2.75]]","[[NaN, NaN], [NaN, NaN], [NaN, NaN], [NaN, NaN], [NaN, NaN]]","[[0.25, 0.25], [0.25, 0.25], [0.25, 0.25], [0.25, 0.25], [0.25, 0.25]]",1.0,0.9979337734687466,0.49843158300000034
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,balanced_static,static,1973,3,adaptive_rolling_delay,14.604118018330125,11.079340927727987,11.079340927727987,0.8180972902748076,0.758644987244141,1.0,1.0,4.000591380453253,2.642805226789101,0.660603639677312,0.8180972902748076,2,"[[2, 3], [2, 3], [1, 3], [2, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[10, 10], [10, 10], [10, 10], [10, 10], [10, 10]]","[[9, 11], [9, 11], [9, 11], [9, 11], [9, 11]]","[[11, 13], [11, 13], [11, 13], [11, 13], [11, 13]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[3.374786921539486, 3.5], [3.3748222289920538, 3.5], [3.374805609019045, 3.5], [3.374792736757644, 3.5], [3.3748065455692293, 3.5]]","[[0.9998947760688821, 0.9468443004988114], [0.9999122118479277, 0.9496944052828966], [0.9999040044538494, 0.9463670846919926], [0.9998976477815525, 0.9431129568307934], [0.9999044669477676, 0.9448804584785554]]","[[0.37497632461549846, 0.3677741891147266], [0.37498024766578375, 0.36842971321506623], [0.3749784010021161, 0.36766442947915834], [0.37497697075084935, 0.3669159800710825], [0.3749785050632477, 0.3673225054500677]]",1.0,0.9979553936931354,0.44697874999999954
harmonic_loop--demand_conflict,harmonic_loop,demand_conflict,balanced_static,static,1973,3,oracle_adaptive_delay,14.604118018330125,11.086056737505046,11.086056737505046,0.8184298749572468,0.7591048445096485,1.0,1.0,4.000591380453253,2.645711197329929,0.6613300249200106,0.8184298749572468,2,"[[2, 3], [2, 3], [1, 3], [2, 3]]","[true, true, true, true, true]",0,4.0,0,1,1,"[[10, 10], [10, 10], [10, 10], [10, 10], [10, 10]]","[[9, 11], [9, 11], [9, 11], [9, 11], [9, 11]]","[[11, 13], [11, 13], [11, 13], [11, 13], [11, 13]]","[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]","[[3.5, 3.5], [3.5, 3.5], [3.5, 3.5], [3.5, 3.5], [3.5, 3.5]]","[[1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0]]","[[0.38, 0.38], [0.38, 0.38], [0.38, 0.38], [0.38, 0.38], [0.38, 0.38]]",1.0,0.9979549636424303,0.4696588749999986
