trajectory,domain_seed,method,initial_task_score,final_task_score,last_observed_task_score,task_auc_normalized,final_task_ratio,initial_violation_rate,final_violation_rate,initial_task_max_ratio,final_task_max_ratio,initial_global_rmse,final_global_rmse,final_global_ratio,selection_switches,selection_history,accepted_history,rejected_trials,final_trust_radius_mm,constraint_violation,all_updates_succeeded,elapsed_s
harmonic_loop,677,static_tolerance,3.802471902658263,0.8202170187725717,0.8202170187725717,0.39761635790334493,0.21570626681006314,0.6666666666666666,0.16666666666666666,4.8219618950621,1.0848069152090742,0.5233622291665831,0.16021672979161,0.3061297144938099,0,"[[2, 3], [2, 3], [2, 3], [2, 3]]","[true, true, true, true, true]",0,0.0,0,1,0.18050033400000132
harmonic_loop,677,curvature_zones,3.802471902658263,0.8202170187725717,0.8202170187725717,0.39761635790334493,0.21570626681006314,0.6666666666666666,0.16666666666666666,4.8219618950621,1.0848069152090742,0.5233622291665831,0.16021672979161,0.3061297144938099,0,"[[2, 3], [2, 3], [2, 3], [2, 3]]","[true, true, true, true, true]",0,0.0,0,1,0.1712359999999986
harmonic_loop,677,jerk_zones,3.802471902658263,1.4748824795127036,1.4748824795127036,0.6377652352837762,0.3878746555580413,0.6666666666666666,0.16666666666666666,4.8219618950621,2.0336030103995877,0.5233622291665831,0.17872085578135743,0.34148596482775917,0,"[[1, 2], [1, 2], [1, 2], [1, 2]]","[true, true, true, true, true]",0,0.0,0,1,0.1693470829999999
harmonic_loop,677,error_peak_dynamic,3.802471902658263,0.5828833984700639,0.5828833984700639,0.39108063352748473,0.1532906523418561,0.6666666666666666,0.0,4.8219618950621,0.6975199037361481,0.5233622291665831,0.1388565036329148,0.26531624923341113,3,"[[2, 3], [3, 4], [1, 2], [3, 4]]","[true, true, true, true, true]",0,0.0,0,1,0.18082908399999909
harmonic_loop,677,violation_dynamic,3.802471902658263,0.5828833984700639,0.5828833984700639,0.39108063352748473,0.1532906523418561,0.6666666666666666,0.0,4.8219618950621,0.6975199037361481,0.5233622291665831,0.1388565036329148,0.26531624923341113,3,"[[2, 3], [3, 4], [1, 2], [3, 4]]","[true, true, true, true, true]",0,0.0,0,1,0.1844568330000005
harmonic_loop,677,violation_safe,3.802471902658263,0.5828833984700639,0.5828833984700639,0.39108063352748473,0.1532906523418561,0.6666666666666666,0.0,4.8219618950621,0.6975199037361481,0.5233622291665831,0.1388565036329148,0.26531624923341113,3,"[[2, 3], [3, 4], [1, 2], [3, 4]]","[true, true, true, true, true]",0,4.0,0,1,0.17700479099999988
harmonic_loop,677,random_zones,3.802471902658263,1.4748824795127036,1.4748824795127036,0.6377652352837762,0.3878746555580413,0.6666666666666666,0.16666666666666666,4.8219618950621,2.0336030103995877,0.5233622291665831,0.17872085578135743,0.34148596482775917,0,"[[1, 2], [1, 2], [1, 2], [1, 2]]","[true, true, true, true, true]",0,0.0,0,1,0.1809182499999995
harmonic_loop,691,full_trajectory,12.862069933513736,3.9666112524993538,3.9666112524993538,0.49833043189453,0.3083960259121163,0.6666666666666666,0.6666666666666666,17.83794976375735,4.891463231226993,1.479975150236633,0.6830666142530604,0.46153924553655173,0,"[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]","[true, true, true, true, true]",0,0.0,0,1,0.33076241700000075
harmonic_loop,691,static_tolerance,12.862069933513736,4.061281106435965,4.061281106435965,0.448885905142479,0.31575641614681227,0.6666666666666666,0.6666666666666666,17.83794976375735,5.431055318785796,1.479975150236633,0.8675956646396101,0.5862231298281532,0,"[[2, 3], [2, 3], [2, 3], [2, 3]]","[true, true, true, true, true]",0,0.0,0,1,0.2833816250000005
harmonic_loop,691,curvature_zones,12.862069933513736,4.061281106435965,4.061281106435965,0.448885905142479,0.31575641614681227,0.6666666666666666,0.6666666666666666,17.83794976375735,5.431055318785796,1.479975150236633,0.8675956646396101,0.5862231298281532,0,"[[2, 3], [2, 3], [2, 3], [2, 3]]","[true, true, true, true, true]",0,0.0,0,1,0.26423954100000024
harmonic_loop,691,jerk_zones,12.862069933513736,6.537675536131593,6.537675536131593,0.7280232344011237,0.508291089220162,0.6666666666666666,0.6666666666666666,17.83794976375735,8.919496527886867,1.479975150236633,0.8561913849909931,0.5785174060889446,0,"[[1, 2], [1, 2], [1, 2], [1, 2]]","[true, true, true, true, true]",0,0.0,0,1,0.22483733299999997
harmonic_loop,691,error_peak_dynamic,12.862069933513736,3.9361226604257276,3.9361226604257276,0.4298074447246355,0.3060255993609292,0.6666666666666666,0.6666666666666666,17.83794976375735,5.147969900468839,1.479975150236633,0.7320289697783665,0.4946224736687792,3,"[[2, 3], [1, 3], [3, 4], [1, 4]]","[true, true, true, true, true]",0,0.0,0,1,0.27464070799999973
harmonic_loop,691,violation_dynamic,12.862069933513736,2.62071845091861,2.62071845091861,0.4150324659815848,0.20375557468320085,0.6666666666666666,0.6666666666666666,17.83794976375735,3.108555382311754,1.479975150236633,0.8112242673721501,0.5481337083547948,3,"[[2, 3], [3, 4], [2, 3], [3, 4]]","[true, true, true, true, true]",0,0.0,0,1,0.28761329199999963
