plant_group,scenario_id,proposed,comparator,plant_id,tasks_within_plant,plant_median_effect_percent
held_out_lhs,n0_d1_m0,v11_full,raw_top2,P08,5,1.4904606289217925
held_out_lhs,n0_d1_m0,v11_full,raw_top2,P09,5,1.533523433895455
held_out_lhs,n0_d1_m0,v11_full,raw_top2,P10,5,0.0
held_out_lhs,n0_d1_m0,v11_full,raw_top2,P11,5,0.0
held_out_lhs,n0_d1_m0,v11_full,raw_top2,P12,5,0.0
held_out_lhs,n0_d1_m0,v11_full,raw_top2,P13,5,0.0
held_out_lhs,n0_d1_m0,v11_full,raw_top2,P14,5,1.590688475228183
held_out_lhs,n0_d1_m0,v11_full,raw_top2,P15,5,3.0088252442397643
held_out_lhs,n0_d1_m0,v11_full,raw_top2,P16,5,1.2193221930682399
held_out_lhs,n0_d1_m0,v11_full,raw_top2,P17,5,0.0
held_out_lhs,n0_d1_m0,v11_full,raw_top2,P18,5,0.0
held_out_lhs,n0_d1_m0,v11_full,raw_top2,P19,5,0.0
held_out_lhs,n0_d1_m0,v11_full,raw_top2,P20,5,3.3976592506632626
held_out_lhs,n0_d1_m0,v11_full,raw_top2,P21,5,1.5044067143911344
held_out_lhs,n0_d1_m0,v11_full,raw_top2,P22,5,1.5680780473281997
held_out_lhs,n0_d1_m0,v11_full,raw_top2,P23,5,0.0
held_out_lhs,n0_d1_m0,v11_full,raw_top2,P24,5,0.0
held_out_lhs,n0_d1_m0,v11_full,uniform_full_trajectory,P01,5,-1.3057911048165576
held_out_lhs,n0_d1_m0,v11_full,uniform_full_trajectory,P02,5,10.33474530184759
held_out_lhs,n0_d1_m0,v11_full,uniform_full_trajectory,P03,5,2.5850176391543505
held_out_lhs,n0_d1_m0,v11_full,uniform_full_trajectory,P04,5,4.907783795749415
held_out_lhs,n0_d1_m0,v11_full,uniform_full_trajectory,P05,5,4.307481538508014
held_out_lhs,n0_d1_m0,v11_full,uniform_full_trajectory,P06,5,1.8123689263373974
held_out_lhs,n0_d1_m0,v11_full,uniform_full_trajectory,P07,5,0.3500060826379567
held_out_lhs,n0_d1_m0,v11_full,uniform_full_trajectory,P08,5,-0.7170760703395099
held_out_lhs,n0_d1_m0,v11_full,uniform_full_trajectory,P09,5,1.913703654420469
held_out_lhs,n0_d1_m0,v11_full,uniform_full_trajectory,P10,5,1.0293912113977206
held_out_lhs,n0_d1_m0,v11_full,uniform_full_trajectory,P11,5,2.509235144771964
held_out_lhs,n0_d1_m0,v11_full,uniform_full_trajectory,P12,5,7.508310436047523
held_out_lhs,n0_d1_m0,v11_full,uniform_full_trajectory,P13,5,3.2973063053594958
held_out_lhs,n0_d1_m0,v11_full,uniform_full_trajectory,P14,5,7.317363120095112
held_out_lhs,n0_d1_m0,v11_full,uniform_full_trajectory,P15,5,5.86742557902181
held_out_lhs,n0_d1_m0,v11_full,uniform_full_trajectory,P16,5,-0.5778413298540538
held_out_lhs,n0_d1_m0,v11_full,uniform_full_trajectory,P17,5,2.057660022542918
held_out_lhs,n0_d1_m0,v11_full,uniform_full_trajectory,P18,5,1.770543347411618
held_out_lhs,n0_d1_m0,v11_full,uniform_full_trajectory,P19,5,2.201946973987762
held_out_lhs,n0_d1_m0,v11_full,uniform_full_trajectory,P20,5,6.305730121847419
held_out_lhs,n0_d1_m0,v11_full,uniform_full_trajectory,P21,5,7.128414137143477
held_out_lhs,n0_d1_m0,v11_full,uniform_full_trajectory,P22,5,2.68950578553548
held_out_lhs,n0_d1_m0,v11_full,uniform_full_trajectory,P23,5,2.352653440619342
held_out_lhs,n0_d1_m0,v11_full,uniform_full_trajectory,P24,5,6.232315759780726
held_out_lhs,n1_d1_m1,v11_full,no_residual_alignment,P01,5,9.126663228100316
held_out_lhs,n1_d1_m1,v11_full,no_residual_alignment,P02,5,7.024537509240308
held_out_lhs,n1_d1_m1,v11_full,no_residual_alignment,P03,5,6.623982790199859
held_out_lhs,n1_d1_m1,v11_full,no_residual_alignment,P04,5,3.3007495319828926
held_out_lhs,n1_d1_m1,v11_full,no_residual_alignment,P05,5,6.230703483502223
held_out_lhs,n1_d1_m1,v11_full,no_residual_alignment,P06,5,9.561654430967234
held_out_lhs,n1_d1_m1,v11_full,no_residual_alignment,P07,5,6.285361272993015
held_out_lhs,n1_d1_m1,v11_full,no_residual_alignment,P08,5,2.5234509502843774
held_out_lhs,n1_d1_m1,v11_full,no_residual_alignment,P09,5,5.667235671562403
held_out_lhs,n1_d1_m1,v11_full,no_residual_alignment,P10,5,5.2735405254565455
held_out_lhs,n1_d1_m1,v11_full,no_residual_alignment,P11,5,7.254485531484155
held_out_lhs,n1_d1_m1,v11_full,no_residual_alignment,P12,5,10.154831963691546
held_out_lhs,n1_d1_m1,v11_full,no_residual_alignment,P13,5,6.888596781949799
held_out_lhs,n1_d1_m1,v11_full,no_residual_alignment,P14,5,3.39815847003678
held_out_lhs,n1_d1_m1,v11_full,no_residual_alignment,P15,5,6.771653241591946
held_out_lhs,n1_d1_m1,v11_full,no_residual_alignment,P16,5,3.332335966873506
held_out_lhs,n1_d1_m1,v11_full,no_residual_alignment,P17,5,5.21798394456625
held_out_lhs,n1_d1_m1,v11_full,no_residual_alignment,P18,5,6.755742401404167
held_out_lhs,n1_d1_m1,v11_full,no_residual_alignment,P19,5,4.26534606553471
held_out_lhs,n1_d1_m1,v11_full,no_residual_alignment,P20,5,4.0026761404047235
held_out_lhs,n1_d1_m1,v11_full,no_residual_alignment,P21,5,8.228963756682376
held_out_lhs,n1_d1_m1,v11_full,no_residual_alignment,P22,5,6.910738372573688
held_out_lhs,n1_d1_m1,v11_full,no_residual_alignment,P23,5,3.3251098297908697
held_out_lhs,n1_d1_m1,v11_full,no_residual_alignment,P24,5,6.060437639899948
held_out_lhs,n1_d1_m1,v11_full,raw_top2,P01,5,0.0
held_out_lhs,n1_d1_m1,v11_full,raw_top2,P02,5,3.1820064835638946
held_out_lhs,n1_d1_m1,v11_full,raw_top2,P03,5,2.5452612986362144
held_out_lhs,n1_d1_m1,v11_full,raw_top2,P04,5,0.0
held_out_lhs,n1_d1_m1,v11_full,raw_top2,P05,5,0.0
held_out_lhs,n1_d1_m1,v11_full,raw_top2,P06,5,0.0
held_out_lhs,n1_d1_m1,v11_full,raw_top2,P07,5,5.585298728029625
held_out_lhs,n1_d1_m1,v11_full,raw_top2,P08,5,0.9788430512741468
held_out_lhs,n1_d1_m1,v11_full,raw_top2,P09,5,3.5002027994205744
held_out_lhs,n1_d1_m1,v11_full,raw_top2,P10,5,0.0
held_out_lhs,n1_d1_m1,v11_full,raw_top2,P11,5,0.0
held_out_lhs,n1_d1_m1,v11_full,raw_top2,P12,5,0.0
held_out_lhs,n1_d1_m1,v11_full,raw_top2,P13,5,0.0
held_out_lhs,n1_d1_m1,v11_full,raw_top2,P14,5,0.47584340095320005
held_out_lhs,n1_d1_m1,v11_full,raw_top2,P15,5,0.7035947826612174
held_out_lhs,n1_d1_m1,v11_full,raw_top2,P16,5,0.0
held_out_lhs,n1_d1_m1,v11_full,raw_top2,P17,5,0.0
held_out_lhs,n1_d1_m1,v11_full,raw_top2,P18,5,0.0
held_out_lhs,n1_d1_m1,v11_full,raw_top2,P19,5,0.0
held_out_lhs,n1_d1_m1,v11_full,raw_top2,P20,5,0.0
held_out_lhs,n1_d1_m1,v11_full,raw_top2,P21,5,1.508957814915362
held_out_lhs,n1_d1_m1,v11_full,raw_top2,P22,5,0.0
held_out_lhs,n1_d1_m1,v11_full,raw_top2,P23,5,0.0
held_out_lhs,n1_d1_m1,v11_full,raw_top2,P24,5,0.0
held_out_lhs,n1_d1_m1,v11_full,uniform_full_trajectory,P01,5,-0.8556800283721189
held_out_lhs,n1_d1_m1,v11_full,uniform_full_trajectory,P02,5,4.2239212676042905
held_out_lhs,n1_d1_m1,v11_full,uniform_full_trajectory,P03,5,3.5516118927572737
held_out_lhs,n1_d1_m1,v11_full,uniform_full_trajectory,P04,5,4.5715036768113215
held_out_lhs,n1_d1_m1,v11_full,uniform_full_trajectory,P05,5,4.30900071321541
held_out_lhs,n1_d1_m1,v11_full,uniform_full_trajectory,P06,5,1.2811354629408924
held_out_lhs,n1_d1_m1,v11_full,uniform_full_trajectory,P07,5,1.0442399941165725
held_out_lhs,n1_d1_m1,v11_full,uniform_full_trajectory,P08,5,1.340593544296687
held_out_lhs,n1_d1_m1,v11_full,uniform_full_trajectory,P09,5,9.392270519972977
held_out_lhs,n1_d1_m1,v11_full,uniform_full_trajectory,P10,5,2.702997792284576
held_out_lhs,n1_d1_m1,v11_full,uniform_full_trajectory,P11,5,2.5617180434722306
held_out_lhs,n1_d1_m1,v11_full,uniform_full_trajectory,P12,5,7.993044640382056
held_out_lhs,n1_d1_m1,v11_full,uniform_full_trajectory,P13,5,2.362823336193687
held_out_lhs,n1_d1_m1,v11_full,uniform_full_trajectory,P14,5,3.082024561231577
held_out_lhs,n1_d1_m1,v11_full,uniform_full_trajectory,P15,5,6.985175808335561
held_out_lhs,n1_d1_m1,v11_full,uniform_full_trajectory,P16,5,2.8707218395976803
