trajectory,domain_seed,method,initial_task_nrmse,final_task_nrmse,task_auc_normalized,final_task_ratio,initial_violation_rate,final_violation_rate,initial_task_max_ratio,final_task_max_ratio,initial_global_rmse,final_global_rmse,final_global_ratio,selection_switches,selection_history,constraint_violation,all_updates_succeeded,elapsed_s
rounded_square,509,nominal_lookahead_dynamic,14.819766360045731,2.4419391449182757,0.4110143420366454,0.16477581937470842,0.9848484848484849,0.5757575757575758,27.91350001276917,5.966391865951367,3.539329230289643,0.8563488420686943,0.2419522984016422,1,"[[2, 3], [2, 4], [2, 4], [2, 4]]",0,1,4.472216790999994
figure_eight,431,full_trajectory,6.409287892815148,0.2838806909062764,0.3255050385995239,0.04429207981506158,1.0,0.0,11.567486824485798,0.6979107461989353,1.235245764593708,0.06936901966477982,0.056158071254424735,0,"[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]",0,1,0.2026004169999993
figure_eight,431,static_tolerance,6.409287892815148,0.5117168729066965,0.36946480261859443,0.0798398950810642,1.0,0.09090909090909091,11.567486824485798,1.3910925342244882,1.235245764593708,0.1254061901767142,0.10152327072982298,0,"[[0, 4], [0, 4], [0, 4], [0, 4]]",0,1,0.2979287080000006
figure_eight,431,curvature_zones,6.409287892815148,0.4892208553350824,0.3685767781804543,0.07632998603222396,1.0,0.09090909090909091,11.567486824485798,1.2653897264118705,1.235245764593708,0.12061673438001475,0.0976459404575959,0,"[[1, 4], [1, 4], [1, 4], [1, 4]]",0,1,0.215681625000002
figure_eight,431,jerk_zones,6.409287892815148,0.4832480351656948,0.3539805790809917,0.07539808528610782,1.0,0.12121212121212122,11.567486824485798,1.3968020371228551,1.235245764593708,0.09618314238914592,0.07786559172763656,0,"[[2, 3], [2, 3], [2, 3], [2, 3]]",0,1,0.20954025000000343
figure_eight,431,error_peak_dynamic,6.409287892815148,0.2807655610437233,0.33145211665732777,0.04380604612229438,1.0,0.0,11.567486824485798,0.6081761563024979,1.235245764593708,0.08553686853282794,0.06924684219497192,3,"[[2, 3], [3, 4], [2, 4], [3, 4]]",0,1,0.19939825000000155
figure_eight,431,violation_dynamic,6.409287892815148,0.2725544339250674,0.3219982923811233,0.04252491672758258,1.0,0.0,11.567486824485798,0.5792970713310641,1.235245764593708,0.08644940352331774,0.0699855899135605,3,"[[2, 4], [3, 4], [2, 4], [3, 4]]",0,1,0.1933709580000027
figure_eight,431,random_zones,6.409287892815148,0.5118723909238145,0.3690119332053415,0.07986415955782337,1.0,0.10606060606060606,11.567486824485798,1.391941349189128,1.235245764593708,0.12492176926158827,0.10113110511467896,0,"[[4, 5], [4, 5], [4, 5], [4, 5]]",0,1,0.2011263750000012
figure_eight,431,nominal_lookahead_dynamic,6.409287892815148,0.30280667257430666,0.3438672450274265,0.04724497910505079,1.0,0.0,11.567486824485798,0.6419148375383487,1.235245764593708,0.10360874643031749,0.08387703030448848,3,"[[2, 3], [2, 4], [3, 4], [2, 4]]",0,1,2.6532120829999997
figure_eight,449,full_trajectory,9.951788551658744,0.39864139113323127,0.3301774182925263,0.040057260970118434,0.9090909090909091,0.0,17.69370514887019,0.9847504324139372,2.0194931048869327,0.14737171735303115,0.07297460783421798,0,"[[0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5], [0, 1, 2, 3, 4, 5]]",0,1,0.24729645899999753
