scenario_id,scope,plant_id,manifest_id,value,proposed,baseline
n0_d0_m0,all_tasks,S26004,figure_eight--demand_aligned,-19.624382051430633,0.42002059210234804,0.35111620632804336
n0_d0_m0,all_tasks,S26004,figure_eight--demand_conflict,-3.1863369648572735,0.3791155847003763,0.36740870531095
n0_d0_m0,all_tasks,S26004,figure_eight--neutral,-11.388374206374673,0.41274418097360654,0.3705451165028186
n0_d0_m0,all_tasks,S26004,harmonic_loop--demand_aligned,-4.016549014703174,0.3543546854236388,0.34067144966859964
n0_d0_m0,all_tasks,S26004,harmonic_loop--demand_conflict,10.382518676291854,0.4948767197364906,0.5522100291448069
n0_d0_m0,all_tasks,S26004,harmonic_loop--neutral,-7.472291811568264,0.4005587067653215,0.37270881639671666
n0_d0_m0,all_tasks,S26004,rounded_square--demand_aligned,7.943906618504522,0.49821363976414373,0.5412065855320028
n0_d0_m0,all_tasks,S26004,rounded_square--demand_conflict,-5.66648427667295,0.4788346932317781,0.4531566432909949
n0_d0_m0,all_tasks,S26004,rounded_square--neutral,-5.1187296046144075,0.5240553727305662,0.49853663062872644
n0_d0_m0,all_tasks,S26004,s_curve--demand_aligned,3.335993334464631,0.40168065936235087,0.41554315118780016
n0_d0_m0,all_tasks,S26004,s_curve--demand_conflict,-9.846687151201385,0.37070337307896306,0.3374734210861531
n0_d0_m0,all_tasks,S26004,s_curve--neutral,-3.4007385966693957,0.3730039164395431,0.360736220554964
n0_d0_m0,all_tasks,S26005,ellipse--demand_aligned,-31.943494616573233,0.25205015945828185,0.19102886443226144
n0_d0_m0,all_tasks,S26005,ellipse--demand_conflict,-29.078866010188953,0.3177640003461743,0.24617817785995372
n0_d0_m0,all_tasks,S26005,ellipse--neutral,-26.60240292427403,0.26500219793587954,0.20931845827159218
n0_d0_m0,all_tasks,S26005,figure_eight--demand_aligned,-14.09127348805767,0.5251755411245609,0.4603117530978676
n0_d0_m0,all_tasks,S26005,figure_eight--demand_conflict,-4.304610592552826,0.5144039485870885,0.49317469828492516
n0_d0_m0,all_tasks,S26005,figure_eight--neutral,-11.380844079019681,0.508409460980211,0.45646041308460317
n0_d0_m0,all_tasks,S26005,harmonic_loop--demand_aligned,-4.818953656560738,0.400537762464165,0.38212341231389013
n0_d0_m0,all_tasks,S26005,harmonic_loop--demand_conflict,25.622299730882073,0.4602634765968413,0.6188191822703417
