paired_n,plant_n,median,mean,paired_ci_low,paired_ci_high,plant_ci_low,plant_ci_high,hierarchical_ci_low,hierarchical_ci_high,win_rate,tie_rate,leave_one_plant_min,leave_one_plant_max,scenario_id,scenario_label,scope,scope_label,metric,metric_label,effect_definition
120,8,-129.82900644049084,-124.40074423755927,-137.20564738291145,-94.65234159206025,-149.48473090909656,-78.25980855817156,-155.57993842807167,-68.29004602828394,0.0,0.0,-135.5017819466023,-106.27667580919426,n0_d0_m0,Baseline,all_tasks,All 15 tasks,final_global_ratio,Final global RMSE ratio,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
120,8,-17.896830769272118,-55.07215917836649,-44.269310405831924,-1.151665585190942,-52.9425701755861,6.537843733040916,-64.0637907069233,6.537843733040935,0.4,0.0,-35.703335629691175,-9.306288146470356,n0_d0_m0,Baseline,all_tasks,All 15 tasks,final_worst_zone_ratio_relative,Final worst-zone ratio,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
40,8,-5.351673164656982,-9.608713328895954,-14.46104908156533,-1.444113617712437,-14.621728516316614,-1.444113617712437,-16.769733950277306,1.428612502007429,0.325,0.0,-6.582522480085632,-4.654131146775543,delay_2,Added delay +2,demand_conflict,Demand-conflict,task_auc_normalized,Task AUC,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
40,8,-18.428193107465297,-24.81221841159597,-31.39379802913175,-12.507130702542469,-31.39379802913175,-9.549426630968945,-35.00300604679793,-9.464047688401555,0.025,0.0,-26.145249578884254,-15.68198601076653,delay_2,Added delay +2,demand_conflict,Demand-conflict,global_rmse_auc_normalized,Global RMSE AUC,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
40,8,-5.511209865233904,-7.900153265332466,-10.972265840363647,-2.3615233810538383,-11.937573766351708,0.8050051252522306,-12.991292371612094,4.34583381308797,0.325,0.0,-6.080312380240787,-4.549605771350855,delay_2,Added delay +2,demand_conflict,Demand-conflict,worst_zone_auc_normalized,Worst-zone AUC,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
40,8,4.663510671700372,-34.16336271216916,-14.596971928055543,14.885733043288829,-6.661987689993467,14.885733043288829,-26.147922493561552,17.98712389236718,0.6,0.0,2.334442592999452,5.715721714426792,delay_2,Added delay +2,demand_conflict,Demand-conflict,final_task_ratio,Final task ratio,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
40,8,-32.91874676438535,-63.15619850929626,-42.02693566093447,-23.906348661395967,-64.7994736803183,-15.855969876041007,-86.91877093035605,-13.480339785638094,0.05,0.0,-34.80889213487689,-30.895362575911214,delay_2,Added delay +2,demand_conflict,Demand-conflict,final_global_ratio,Final global RMSE ratio,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
40,8,3.5618375522071024,-35.820639858248754,-7.46402121473263,21.846925217404934,1.1466472931762373,21.8358044664528,-19.39994861831222,24.046982678193295,0.625,0.0,2.578989075321387,4.920272079464887,delay_2,Added delay +2,demand_conflict,Demand-conflict,final_worst_zone_ratio_relative,Final worst-zone ratio,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
120,8,-5.149628419177022,-11.581653496599358,-7.577165576371246,-3.969210715139222,-9.219606482945427,-3.3598728952080856,-11.89569560780085,-3.265183158749283,0.3,0.0,-5.952345274309249,-4.654131146775543,delay_2,Added delay +2,all_tasks,All 15 tasks,task_auc_normalized,Task AUC,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
120,8,-18.834461540241456,-24.909620266691128,-29.953074614102672,-14.684475501010107,-31.499335746708788,-9.464047688401555,-32.098533199785486,-9.464047688401555,0.025,0.0,-26.145249578884254,-15.68198601076653,delay_2,Added delay +2,all_tasks,All 15 tasks,global_rmse_auc_normalized,Global RMSE AUC,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
120,8,-5.208506850597083,-10.648438869777301,-8.155407604738915,-3.2018530813909587,-8.297097782398616,-3.1914041333868495,-9.746017173002627,-2.900825247977799,0.2916666666666667,0.0,-5.735440320315019,-4.549605771350855,delay_2,Added delay +2,all_tasks,All 15 tasks,worst_zone_auc_normalized,Worst-zone AUC,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
120,8,2.2621774048260628,-33.55878511963987,-1.9396862782337791,5.715721714426792,-12.436038126704494,6.644567869081854,-14.5682337789568,8.961068335400164,0.55,0.0,0.43246599615599696,4.352038890770586,delay_2,Added delay +2,all_tasks,All 15 tasks,final_task_ratio,Final task ratio,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
120,8,-32.91874676438535,-64.76983911848305,-41.37369489158838,-29.352093969098718,-78.26954964893481,-14.584606724066415,-80.17251928136612,-14.584606724066415,0.025,0.0,-38.69889358930717,-30.895362575911214,delay_2,Added delay +2,all_tasks,All 15 tasks,final_global_ratio,Final global RMSE ratio,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
120,8,2.2169669132844314,-34.95803986842455,0.10682211066535546,4.920272079464887,-2.334891880368501,5.862946014169547,-8.03461898124575,7.7927837666923345,0.5833333333333334,0.0,1.4063239810416974,3.9361768281840916,delay_2,Added delay +2,all_tasks,All 15 tasks,final_worst_zone_ratio_relative,Final worst-zone ratio,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
40,8,-2.2153797405440043,-3.661920948300928,-4.137833731797487,2.3292581814227065,-3.179725974867786,-0.7281902480830078,-4.362992289282731,2.497319640707701,0.375,0.0,-2.247540098458261,-2.1832193826297477,n0_d1_m0,Added delay +4,demand_conflict,Demand-conflict,task_auc_normalized,Task AUC,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
40,8,-9.353646514006485,-12.131433211781152,-12.861736336340549,-4.237822157404104,-12.491073286729149,-3.388366121845044,-13.495394704742022,-2.9415019729600926,0.125,0.0,-10.095141805652908,-6.4727677079614105,n0_d1_m0,Added delay +4,demand_conflict,Demand-conflict,global_rmse_auc_normalized,Global RMSE AUC,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
40,8,-0.5673879762721944,-3.3292335115942775,-4.850150157874619,3.2955183233922782,-4.167576529265443,1.6944506678251021,-5.506787039773186,5.128653996569109,0.5,0.0,-1.6040583043030336,0.4576119511746668,n0_d1_m0,Added delay +4,demand_conflict,Demand-conflict,worst_zone_auc_normalized,Worst-zone AUC,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
40,8,6.549554668171996,0.5700575763217184,0.6270987004885124,15.01618461433145,2.1370001415758235,12.347308529322214,0.27040370249650153,16.694884751732953,0.675,0.0,5.4788841112742865,7.832261599512736,n0_d1_m0,Added delay +4,demand_conflict,Demand-conflict,final_task_ratio,Final task ratio,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
40,8,-11.824508995155096,-18.80736254973344,-15.564925621697315,-6.603024494052987,-14.374875126400081,-6.154435937828335,-16.073000085043198,-5.374316729477329,0.2,0.0,-12.35568307974551,-9.374946932886711,n0_d1_m0,Added delay +4,demand_conflict,Demand-conflict,final_global_ratio,Final global RMSE ratio,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
40,8,7.318831976989763,1.9336020881760927,1.4005816079889148,18.916376535871695,3.9867311387810576,18.916376535871695,0.9192065334701254,21.82361895052508,0.7,0.0,6.358130684637524,8.770269979428567,n0_d1_m0,Added delay +4,demand_conflict,Demand-conflict,final_worst_zone_ratio_relative,Final worst-zone ratio,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
120,8,-3.179725974867786,-6.855753779502498,-4.83133669962727,-1.9113858352994324,-4.526363596175686,-2.6921864277634877,-5.089781085265201,-1.3511791001002258,0.3333333333333333,0.0,-3.7162464483183366,-2.9864111737234786,n0_d1_m0,Added delay +4,all_tasks,All 15 tasks,task_auc_normalized,Task AUC,100*(BF_NOILC-Proposed)/BF_NOILC; positive favors Proposed
